原形,意味,過去形,ing形
answer,~に答える,answered,answering
ask,~に尋ねる,asked,asking
call,~に電話する,called,calling
carry,~を運ぶ,carried,carrying
clean,~を掃除する,cleaned,cleaning
collect,~を集める,collected,collecting
close,~を閉じる,closed,closing
cry,泣く,cried,crying
drop,~を落とす,dropped,dropping
enjoy,~を楽しむ,enjoyed,enjoying
help,~を手伝う,helped,helping
hurry,急ぐ,hurried,hurrying
jump,跳ぶ,jumped,jumping
listen,聞く,listened,listening
live,住む,lived,living
look,見る,looked,looking
love,~が大好き,loved,loving
need,~が必要,needed,needing
open,~を開ける,opened,opening
plan,~を計画する,planned,planning
play,(運動など)をする,played,playing
practice,~を練習する,practiced,practicing
ski,スキーをする,skied,skiing
start,~を始める,started,starting
stay,滞在する,stayed,staying
stop,~をやめる,stopped,stopping
surf,(ネット) サーフィンをする,surfed,surfing
talk,話す,talked,talking
try,~しようとする,tried,trying
use,~を使う,used,using
visit,~を訪れる,visited,visiting
walk,歩く,walked,walking
want,~が欲しい,wanted,wanting
wash,~を洗う,washed,washing
watch,~を見る,watched,watching
work,働く,worked,working
"be(am,is,are)",~です、いる、ある,"was, were",being
become,～になる,became,becoming
begin,～を始める,began,beginning
break,～を壊す,broke,breaking
bring,～を持ってくる,brought,bringing
buy,～を買う,bought,buying
come,来る,came,coming
cut,～を切る,cut,cutting
do (does) ,～をする,did,doing
drink,～を飲む,drank,drinking
eat,(～を)食べる,ate,eating
feel,(～を)感じる,felt,feeling
get,～を手に入れる,got,getting
give,～を与える,gave,giving
go,行く,went,going
have (has),～を持っている,had,having
hear,(～が)聞こえる,heard,hearing
hit,～を打つ,hit,hitting
hurt,痛む,hurt,hurting
know,(～を)知っている,knew,knowing
make,～を作る,made,making
meet,～に会う,met,meeting
put,～を置く,put,putting
read,(～を)読む,read,reading
run,走る,ran,running
say,～を言う,said,saying
sell,～を売る,sold,selling
sing,(～を)歌う,sang,singing
sit,座る,sat,sitting
sleep,眠る,slept,sleeping
speak,～を話す,spoke,speaking
stand,立つ,stood,standing
swim,泳ぐ,swam,swimming
teach,(～を)教える,taught,teaching
tell,～に告げる,told,telling
think,(～を)考える,thought,thinking
write,(～を)書く,wrote,writing
